,ChannelID,Title,Viewcount,ThumbnailURL,Time,Z-Score
0,UCn6SuRuauJlbWsw7eH1FQTQ,I Made a Michael Reeves Robot That DESTROYS Your Ankles!,2974,https://i.ytimg.com/vi/-QYAUXzYuE8/default.jpg,2022-01-08T09:18:35Z,0.9794064776533431
1,UCn6SuRuauJlbWsw7eH1FQTQ,Oli Bailey has just subscribed!,1776,https://i.ytimg.com/vi/AGXLavLe0Do/default.jpg,2020-01-06T04:37:02Z,0.04149363974070918
2,UCn6SuRuauJlbWsw7eH1FQTQ,Making the Worlds Largest Umbrella (to escape the floods),421,https://i.ytimg.com/vi/jAQCAHjAOJY/default.jpg,2022-04-03T08:57:06Z,-1.0193343196679878
3,UCJLZe_NoiG0hT7QCX_9vmqw,I put a gun on a robot dog,4799466,https://i.ytimg.com/vi/0rliFQ0qyAM/default.jpg,2022-08-06T15:00:00Z,-0.08930185722084115
4,UCJLZe_NoiG0hT7QCX_9vmqw,How Many Shirts Will Stop a Bullet?,3938592,https://i.ytimg.com/vi/F8xIr28fns0/default.jpg,2022-07-09T17:00:08Z,-0.5821430274554351
5,UCJLZe_NoiG0hT7QCX_9vmqw,I Made The Worlds Most Powerful Boxing Glove!,3825654,https://i.ytimg.com/vi/Kcg8l5IQgjo/default.jpg,2022-04-30T15:00:18Z,-0.6828822238743583
6,UCJLZe_NoiG0hT7QCX_9vmqw,I made a Shark Proof Wetsuit!,2524996,https://i.ytimg.com/vi/PCUyWtRlPoI/default.jpg,2022-03-31T17:00:14Z,-1.0408771933545171
7,UCJLZe_NoiG0hT7QCX_9vmqw,frogs keep drowning themselves in my pool,7912348,https://i.ytimg.com/vi/JrQNoIEHnEk/default.jpg,2022-01-30T17:00:20Z,0.24923125987950687
8,UCJLZe_NoiG0hT7QCX_9vmqw,I Tested Your Most Dangerous Video Ideas!,8003369,https://i.ytimg.com/vi/EOy0f_fGKAg/default.jpg,2021-12-28T16:00:05Z,0.32186900137898256
9,UCJLZe_NoiG0hT7QCX_9vmqw,Drone Darts are Silent and Deadly!,5280528,https://i.ytimg.com/vi/969XGZ_t7cE/default.jpg,2021-11-27T15:00:06Z,-0.3659086637259897
10,UCJLZe_NoiG0hT7QCX_9vmqw,Following a Cookbook I Stole From North Korea!,3548644,https://i.ytimg.com/vi/vj1peBJZ0kk/default.jpg,2021-11-07T14:00:33Z,-0.7440805209507662
11,UCJLZe_NoiG0hT7QCX_9vmqw,I Made the World's Most Powerful Hammer!,13572210,https://i.ytimg.com/vi/Lti_zl3MnT4/default.jpg,2021-10-03T14:00:08Z,1.7819597557478182
12,UCJLZe_NoiG0hT7QCX_9vmqw,Can I Jump Rope Fast Enough To Stop The Rain?,16328351,https://i.ytimg.com/vi/o5ZnTCgOrA4/default.jpg,2021-08-17T16:00:22Z,2.488717250823049
13,UCJLZe_NoiG0hT7QCX_9vmqw,Can I Chop Down a Tree Using Only a Tree?,8327647,https://i.ytimg.com/vi/KDJHjrgGVYQ/default.jpg,2021-07-17T19:00:12Z,0.4336329071737273
14,UCJLZe_NoiG0hT7QCX_9vmqw,Ranking the Weird Aussie Animals In My Yard!,4097307,https://i.ytimg.com/vi/jnIX8S3yR-s/default.jpg,2021-06-12T20:00:06Z,-0.7203323859602799
15,UCJLZe_NoiG0hT7QCX_9vmqw,I Made A Terrifying Robot Lawn Mower,4547050,https://i.ytimg.com/vi/qCNFHu76H0U/default.jpg,2021-05-12T19:00:11Z,-0.47276442630672294
16,UCJLZe_NoiG0hT7QCX_9vmqw,World's Largest Beyblade - Powered By A Chainsaw!,7659502,https://i.ytimg.com/vi/QwrZuUiSXEI/default.jpg,2021-03-17T19:00:14Z,0.40060414988974913
17,UCJLZe_NoiG0hT7QCX_9vmqw,This Evil Man Only Picks Up Girls from Poor Countries,3063374,https://i.ytimg.com/vi/3IJfvUZ_W7g/default.jpg,2021-02-21T18:00:01Z,-0.7871263297699501
18,UCJLZe_NoiG0hT7QCX_9vmqw,Can I Make A Speargun Using Only Trash?,5626269,https://i.ytimg.com/vi/aN4Np9yf16o/default.jpg,2021-01-25T22:02:15Z,-0.15470856495211258
19,UCJLZe_NoiG0hT7QCX_9vmqw,We built Monoliths all around the World! ft. @Aunty Donna,5542088,https://i.ytimg.com/vi/j-pKKM6CXr0/default.jpg,2020-12-08T23:07:07Z,-0.05069253085987518
20,UCJLZe_NoiG0hT7QCX_9vmqw,Worlds Largest Beyblade Destroys A House!,3482279,https://i.ytimg.com/vi/-_sQ3cgQvR0/default.jpg,2020-11-14T23:35:21Z,-0.5908059113836582
21,UCJLZe_NoiG0hT7QCX_9vmqw,I Made A Hot Tub For Australian Birds!,5139502,https://i.ytimg.com/vi/YiGhh6yFAqc/default.jpg,2020-10-03T18:00:11Z,0.24147022955276476
22,UCJLZe_NoiG0hT7QCX_9vmqw,Turning trash into something less useful,1978712,https://i.ytimg.com/vi/7qKdrfFWs4g/default.jpg,2020-08-29T16:00:01Z,-1.130189906816258
23,UCJLZe_NoiG0hT7QCX_9vmqw,We used an ILLEGAL Covid Test from Wish!,2341255,https://i.ytimg.com/vi/Jki49UFR8q0/default.jpg,2020-08-03T17:00:10Z,-0.9936327884031894
24,UCJLZe_NoiG0hT7QCX_9vmqw,Getting Stray Cats High To Stop Them Eating My Pets,9842420,https://i.ytimg.com/vi/Z5EiqzfiCS8/default.jpg,2020-07-18T17:00:14Z,2.6341908988638436
25,UCJLZe_NoiG0hT7QCX_9vmqw,"How dangerous are ""Safe"" Rubber bullets?",2623640,https://i.ytimg.com/vi/2zgMsWS91LU/default.jpg,2020-06-21T16:00:02Z,-0.8729323226338486
26,UCJLZe_NoiG0hT7QCX_9vmqw,How Much Money Did I Make Fixing Broken Tools?,5345545,https://i.ytimg.com/vi/XNhPfMYmOSQ/default.jpg,2020-05-27T17:00:16Z,0.5524014389427876
27,UCJLZe_NoiG0hT7QCX_9vmqw,Do Bees Actually Like Jazz?,3082909,https://i.ytimg.com/vi/4k7TtOqJpKY/default.jpg,2020-04-30T18:00:02Z,-0.5105968948549761
28,UCJLZe_NoiG0hT7QCX_9vmqw,I Hit The Worlds Fastest Ping Pong Ball!,5103516,https://i.ytimg.com/vi/bAKqzAzfXKQ/default.jpg,2020-04-09T18:00:18Z,0.4878914736087791
